"*** server_valida  Validacion - configuracion servidor 9268SRV1 - IP: 10.10.188.1 en oficina 9268-Caraballeda " 

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:MOSAIC | Paso:F1-6-1-Revisar activacion flag 218 - No grabar dat en C de wks con win7 | 000 | OK |  

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:JBOSS | Paso:F1-7-1-Validar servicio JBossWeb | E-107 | Servicio JBossWeb NO fue iniciado. Reportar |  

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:MOSAIC | Paso:F1-7-2-Validar servicio MOSAIC MSW" | E-107 | Servicio MOSAIC MSW NO fue iniciado. Reportar |   

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:MosaicProxy | Paso:F1-7-3-Validar servicio MosaicProxy instalado | E-107 | Servicio MosaicProxy NO fue iniciado. Reportar |  

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:MosaicSpider | Paso:F1-7-4-Validar servicio MosaicSpiderSrv | E-107 | Servicio MosaicSpiderSrv NO fue iniciado. Reportar |  

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:HALL | Paso:F1-7-5-Validar servicio HallService | E-107 | Servicio HallService NO fue iniciado. Reportar |  

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:BIOSHOT | Paso:F2-1-1-Validando fecha en archivo BioShotOfficeService.exe.config  | E-110 | Archivo BioShotOfficeService.exe.config no actualizado . Reportar |  

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:Lectora | Paso:F2-2-1-Validar que Imagen2 no exista en CTSParameters.ini | 000 | OK |  

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:SO | Paso:F2-3-1-Validando archivo DEL_CEMP | E-109 | Tarea DEL_CEMP no existe. Reportar |  

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:BIOSHOT | Paso:F2-4-1-Validar servicio BioShot Status Transfer Service" | E-107 | Servicio BioShot Status Transfer Service NO fue iniciado. Reportar |   

Thu Oct 10 22:44:29 2013 --  9268SRV1 | Appl:* | Paso:FIN-FIN Configuracion | 999 | Con errores revisar archivo LOG\9268.log |  
